groupSize,theta,lambda,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90
3.,0.5,0.01,0.33243333333333336,0.3356,0.38776666666666665,0.43273333333333336,0.46373333333333333,0.4856666666666667,0.5051,0.5211666666666667,0.5334333333333333,0.5443333333333333,0.5567333333333333,0.5643,0.5718333333333333,0.5757333333333333,0.5818,0.5879,0.5945,0.5972,0.6042333333333333,0.6084,0.612,0.6142666666666666,0.6165666666666667,0.6213,0.6242,0.6279333333333333,0.6299333333333333,0.6302333333333333,0.6309,0.6328666666666667,0.6370666666666667,0.6395,0.6424,0.6444,0.6468666666666667,0.6476,0.6472666666666667,0.6504,0.6506,0.6545,0.17313333333333333,0.18676666666666666,0.20053333333333334,0.21213333333333334,0.22166666666666668,0.23313333333333333,0.24256666666666668,0.2521333333333333,0.2604,0.2690666666666667,0.2745,0.2824333333333333,0.2880333333333333,0.2931666666666667,0.30083333333333334,0.3073,0.31166666666666665,0.31683333333333336,0.32106666666666667,0.32643333333333335,0.3308,0.3347333333333333,0.3399,0.34513333333333335,0.34863333333333335,0.34983333333333333,0.35583333333333333,0.3606666666666667,0.362,0.36643333333333333,0.3707,0.37273333333333336,0.37446666666666667,0.3784,0.38103333333333333,0.3843,0.38943333333333335,0.39193333333333336,0.393,0.3969666666666667,0.39923333333333333,0.40253333333333335,0.40486666666666665,0.4073,0.4105666666666667,0.412,0.4155,0.41733333333333333,0.41933333333333334,0.422
10.,0.5,0.01,0.33172,0.33427,0.39085,0.43469,0.46488,0.48887,0.50773,0.52446,0.53753,0.54894,0.55705,0.56611,0.57522,0.58246,0.5888,0.59365,0.60043,0.60382,0.60811,0.61408,0.61668,0.62221,0.6252,0.6285,0.63144,0.63419,0.63591,0.6383,0.6407,0.64376,0.64609,0.64979,0.65102,0.65228,0.65443,0.65676,0.65814,0.65958,0.66192,0.66231,0.16913,0.18291,0.19523,0.20666,0.21673,0.22583,0.23508,0.24321,0.24996,0.25789,0.26372,0.2712,0.27725,0.28377,0.28874,0.29497,0.29915,0.30505,0.30987,0.31495,0.31938,0.32364,0.32774,0.33216,0.33693,0.34029,0.34514,0.34805,0.35128,0.35461,0.35852,0.36296,0.36653,0.36969,0.37464,0.37753,0.37968,0.38306,0.38644,0.3904,0.39211,0.3939,0.39708,0.39961,0.40354,0.40578,0.40712,0.41018,0.41232,0.4157
30.,0.5,0.01,0.33267,0.33294,0.38905666666666666,0.4328766666666667,0.4658333333333333,0.49010333333333334,0.50975,0.5257433333333333,0.5390266666666667,0.55071,0.55921,0.5689133333333334,0.5774133333333333,0.5839,0.58953,0.5959666666666666,0.6013433333333333,0.6060866666666667,0.6105566666666666,0.61528,0.6195366666666666,0.6227666666666667,0.6259966666666666,0.6286666666666667,0.63241,0.63521,0.6384866666666666,0.6407566666666666,0.6435733333333333,0.6461866666666667,0.64811,0.6501166666666667,0.6523233333333334,0.6541133333333333,0.6562433333333333,0.6579933333333333,0.6585233333333333,0.6604233333333334,0.66256,0.6634433333333334,0.16779,0.18223333333333333,0.19380333333333333,0.20463666666666666,0.21438333333333334,0.22342,0.23203,0.23970666666666668,0.24673,0.25388,0.26011,0.26663333333333333,0.27253,0.27887666666666666,0.2841166666666667,0.28930666666666666,0.29447,0.29996,0.30428333333333335,0.30944666666666665,0.31359,0.3182433333333333,0.32232,0.32594,0.3303066666666667,0.3347733333333333,0.33803333333333335,0.34197,0.34679333333333334,0.35030666666666666,0.35375666666666666,0.35646333333333335,0.3599,0.36368,0.36673333333333336,0.37059333333333333,0.3732433333333333,0.3767466666666667,0.37957,0.38263,0.3861466666666667,0.38860666666666666,0.39112,0.39381666666666665,0.39708666666666664,0.39980666666666664,0.40257,0.4053333333333333,0.40784333333333334,0.4108
3.,1.,0.01,0.33243333333333336,0.33563333333333334,0.38806666666666667,0.433,0.4633,0.4866666666666667,0.5068333333333334,0.5223333333333333,0.5347,0.5461666666666667,0.5586666666666666,0.5664666666666667,0.5747,0.5785333333333333,0.5852666666666667,0.5907333333333333,0.5979,0.6010666666666666,0.6073,0.6122,0.6161666666666666,0.6175333333333334,0.6202666666666666,0.6239333333333333,0.6273,0.6303666666666666,0.6334,0.6343333333333333,0.6351333333333333,0.6365666666666666,0.6406,0.6433666666666666,0.6458,0.6481333333333333,0.6507,0.6519333333333334,0.6508666666666667,0.6544333333333333,0.6551333333333333,0.6586333333333333,0.17103333333333334,0.18403333333333333,0.19716666666666666,0.20793333333333333,0.217,0.2287,0.2378,0.24596666666666667,0.2547,0.26293333333333335,0.26853333333333335,0.27536666666666665,0.28246666666666664,0.2860333333333333,0.29413333333333336,0.3001333333333333,0.305,0.3098,0.3142666666666667,0.31893333333333335,0.32363333333333333,0.3273,0.3332,0.33713333333333334,0.3411666666666667,0.3434,0.3486,0.3535,0.35433333333333333,0.3583,0.3627,0.36493333333333333,0.3667,0.3704,0.3733,0.3757333333333333,0.3803,0.3837,0.38456666666666667,0.3885,0.39136666666666664,0.3946,0.3965,0.3985666666666667,0.4013333333333333,0.40276666666666666,0.4073333333333333,0.4084333333333333,0.41083333333333333,0.412
10.,1.,0.01,0.33172,0.33419,0.39092,0.43511,0.4661,0.49067,0.51002,0.52709,0.54029,0.55196,0.56073,0.56957,0.57876,0.58636,0.59295,0.59806,0.60507,0.6082,0.61272,0.61893,0.62195,0.62779,0.63061,0.63441,0.63745,0.63994,0.64186,0.64455,0.64694,0.65013,0.65251,0.65604,0.65762,0.6583,0.66115,0.66362,0.66506,0.66642,0.66857,0.66969,0.16538,0.17853,0.18999,0.20068,0.21034,0.21926,0.22805,0.23654,0.24318,0.25124,0.25694,0.2642,0.27,0.27677,0.28162,0.28745,0.29257,0.29809,0.30299,0.30807,0.31199,0.31676,0.32083,0.32512,0.33006,0.33333,0.33848,0.34117,0.34425,0.3479,0.35187,0.35598,0.36002,0.36337,0.36812,0.37112,0.37341,0.37659,0.3804,0.38338,0.38579,0.38815,0.39121,0.39368,0.39753,0.3998,0.40142,0.40452,0.40706,0.40983
30.,1.,0.01,0.33267,0.33294666666666667,0.38906,0.43373,0.4673466666666667,0.49242,0.5125766666666667,0.5289866666666667,0.5426033333333333,0.5546233333333334,0.56346,0.5734733333333333,0.5822166666666667,0.5889533333333333,0.5947433333333333,0.60139,0.6067933333333333,0.61168,0.6163633333333334,0.62139,0.6256933333333333,0.6293633333333334,0.6325933333333333,0.6354233333333333,0.6390766666666666,0.6421266666666666,0.6454,0.6478033333333333,0.6507166666666667,0.6535966666666667,0.65543,0.6575433333333334,0.65993,0.6620133333333333,0.6638933333333333,0.6660666666666667,0.6665533333333333,0.6690266666666667,0.6709,0.6718933333333333,0.16354,0.17683,0.18808666666666668,0.19836,0.20798,0.21683,0.22520666666666667,0.23273333333333332,0.23969,0.24644666666666667,0.25270333333333334,0.2589066666666667,0.2646633333333333,0.2709,0.2760433333333333,0.2812766666666667,0.28669,0.29171,0.2963166666666667,0.3013533333333333,0.3053666666666667,0.31022,0.31429666666666667,0.31788,0.32179,0.3266266666666667,0.3297,0.3336633333333333,0.33863,0.34215666666666666,0.34535666666666665,0.34875,0.35189333333333334,0.35591,0.35898,0.36285666666666666,0.36578666666666665,0.36929,0.3722666666666667,0.37542333333333333,0.3791366666666667,0.38163,0.38443,0.38726666666666665,0.39065666666666665,0.39334,0.3961133333333333,0.39920333333333335,0.4017633333333333,0.40485666666666664
3.,3.,0.01,0.33243333333333336,0.3353,0.3874,0.43383333333333335,0.4636,0.4884,0.5091333333333333,0.5257333333333334,0.5382333333333333,0.5500666666666667,0.5633,0.5714,0.5798,0.5839,0.5908666666666667,0.5978,0.6051,0.6089,0.6143333333333333,0.6185333333333334,0.6233666666666666,0.6251,0.6285,0.6319666666666667,0.6357666666666667,0.6393,0.6413,0.6423666666666666,0.6447333333333334,0.6465333333333333,0.6508333333333334,0.6532333333333333,0.6550666666666667,0.6588333333333334,0.6604333333333333,0.6613333333333333,0.6617666666666666,0.6635333333333333,0.6654666666666667,0.6688666666666667,0.1647,0.17483333333333334,0.18713333333333335,0.1968,0.20503333333333335,0.2131,0.2221,0.22916666666666666,0.2368,0.24333333333333335,0.2495,0.2564,0.2615,0.2665666666666667,0.2741,0.27903333333333336,0.2830666666666667,0.2875,0.29173333333333334,0.29756666666666665,0.30156666666666665,0.30483333333333335,0.3096333333333333,0.3126333333333333,0.31693333333333334,0.31926666666666664,0.3238333333333333,0.32813333333333333,0.32966666666666666,0.33366666666666667,0.3363,0.3397,0.3419,0.34363333333333335,0.3479,0.3513,0.355,0.35796666666666666,0.3589,0.362,0.3657666666666667,0.36823333333333336,0.3703,0.37246666666666667,0.37416666666666665,0.3768,0.37833333333333335,0.3817,0.3833666666666667,0.38566666666666666
10.,3.,0.01,0.33172,0.33408,0.39082,0.43718,0.46968,0.49667,0.5177,0.53507,0.54975,0.56212,0.57176,0.58247,0.59159,0.59954,0.60714,0.61142,0.62004,0.62385,0.62902,0.63521,0.63913,0.64476,0.64823,0.65236,0.6556,0.65876,0.66128,0.66447,0.66726,0.67051,0.67308,0.6767,0.67909,0.68002,0.68375,0.68565,0.68776,0.68923,0.69179,0.69293,0.15449,0.16498,0.17428,0.18354,0.19218,0.20007,0.20684,0.21412,0.21987,0.22717,0.23222,0.23867,0.24371,0.24874,0.25403,0.25947,0.26411,0.26886,0.27351,0.27831,0.28201,0.2874,0.29069,0.29467,0.29852,0.30264,0.30715,0.30993,0.31326,0.31736,0.32109,0.325,0.32866,0.33225,0.33712,0.33958,0.34226,0.34553,0.34828,0.35171,0.35505,0.35748,0.3598,0.36266,0.36603,0.36819,0.37047,0.37347,0.37579,0.37872
30.,3.,0.01,0.33267,0.33292666666666665,0.3889666666666667,0.43668,0.47327,0.5008966666666667,0.52289,0.5409033333333333,0.5559,0.5691266666666667,0.57926,0.5902,0.5994033333333333,0.6073766666666667,0.61388,0.62082,0.6269566666666667,0.6321233333333334,0.6375933333333333,0.6427266666666667,0.6477933333333333,0.6516066666666667,0.6556766666666667,0.65898,0.6627166666666666,0.6666033333333333,0.6694266666666666,0.67269,0.6762566666666666,0.6792433333333333,0.6814066666666667,0.68428,0.6864933333333333,0.6890466666666667,0.6914266666666666,0.6936233333333334,0.6946166666666667,0.6969666666666666,0.69955,0.7003766666666666,0.14871,0.15902,0.16835666666666665,0.17683666666666667,0.18518666666666667,0.19262333333333334,0.19967333333333334,0.20586666666666667,0.2117,0.21744333333333332,0.22283,0.22798333333333334,0.23348666666666668,0.23866666666666667,0.24356666666666665,0.24816666666666667,0.25286,0.25727666666666665,0.26126666666666665,0.26588,0.2694933333333333,0.27403666666666665,0.27798,0.2810533333333333,0.28477,0.28918,0.29231666666666667,0.2958633333333333,0.3003033333333333,0.30380666666666667,0.30677666666666664,0.30994333333333335,0.31342,0.31692,0.31991,0.32344333333333336,0.32649333333333336,0.32997333333333334,0.33268333333333333,0.33609,0.33936666666666665,0.3415533333333333,0.34457333333333334,0.34774333333333335,0.3509966666666667,0.35385666666666665,0.35684666666666665,0.35972666666666664,0.36223,0.36555333333333334
3.,6.,0.01,0.33243333333333336,0.335,0.3869666666666667,0.43323333333333336,0.46353333333333335,0.48906666666666665,0.5097333333333334,0.5265666666666666,0.5404333333333333,0.5521333333333334,0.5651333333333334,0.5738666666666666,0.5820333333333333,0.5867666666666667,0.5931333333333333,0.6004666666666667,0.6075666666666667,0.612,0.6185,0.6234666666666666,0.6275666666666667,0.6294,0.6321333333333333,0.6360333333333333,0.6401666666666667,0.6432,0.6463,0.6474666666666666,0.6505666666666666,0.6530666666666667,0.6562666666666667,0.6587,0.6596,0.6639,0.6663333333333333,0.6672,0.6678,0.6702,0.6716,0.6753666666666667,0.1617,0.17,0.1802,0.18913333333333332,0.19616666666666666,0.20353333333333334,0.21116666666666667,0.21783333333333332,0.2241,0.2298,0.235,0.24136666666666667,0.2453,0.24986666666666665,0.25543333333333335,0.2602,0.2643,0.26743333333333336,0.27266666666666667,0.27686666666666665,0.2806666666666667,0.28403333333333336,0.2882,0.29133333333333333,0.2959333333333333,0.29756666666666665,0.3015,0.3047666666666667,0.3074,0.31116666666666665,0.3139,0.3169,0.3187333333333333,0.322,0.3244,0.32663333333333333,0.3300666666666667,0.3324,0.33416666666666667,0.3365,0.33926666666666666,0.3424333333333333,0.3436,0.3460666666666667,0.34773333333333334,0.3505,0.3521,0.35386666666666666,0.3556666666666667,0.35686666666666667
