groupSize,theta,lambda,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90
3.,0.5,0.01,0.33243333333333336,0.3357,0.36846666666666666,0.3985666666666667,0.421,0.43976666666666664,0.4518,0.4679333333333333,0.4778,0.48946666666666666,0.5,0.5058,0.5168333333333334,0.5195,0.5295666666666666,0.5344666666666666,0.5406666666666666,0.5474666666666667,0.5516666666666666,0.5613666666666667,0.5613333333333334,0.5673,0.5723,0.5761,0.5851,0.5893,0.5928,0.5956,0.5968,0.5971333333333333,0.6058,0.6085333333333334,0.618,0.6229,0.6204666666666667,0.6238,0.6286333333333334,0.6311333333333333,0.6338666666666667,0.6371333333333333,0.18053333333333332,0.20276666666666668,0.22406666666666666,0.23983333333333334,0.25566666666666665,0.2692333333333333,0.2844,0.29736666666666667,0.3051333333333333,0.31753333333333333,0.3267333333333333,0.33866666666666667,0.34463333333333335,0.35386666666666666,0.36013333333333336,0.3704,0.3734,0.3806,0.3859666666666667,0.3915666666666667,0.39863333333333334,0.4020666666666667,0.4073,0.41073333333333334,0.41756666666666664,0.4203,0.42816666666666664,0.4320333333333333,0.4351,0.4403666666666667,0.4446333333333333,0.44683333333333336,0.44856666666666667,0.4535,0.45713333333333334,0.4604,0.4675666666666667,0.46886666666666665,0.47273333333333334,0.4751666666666667,0.4790333333333333,0.4812,0.4826666666666667,0.4860333333333333,0.49133333333333334,0.4911,0.4948666666666667,0.49506666666666665,0.4997333333333333,0.5004
10.,0.5,0.01,0.33172,0.33444,0.37252,0.40118,0.42201,0.44106,0.45601,0.4688,0.47912,0.49098,0.49808,0.5068,0.51696,0.52399,0.53292,0.53887,0.54713,0.55203,0.55495,0.56385,0.56634,0.57169,0.57453,0.58146,0.58679,0.59186,0.59595,0.59842,0.60575,0.60791,0.61223,0.61594,0.62217,0.6241,0.6285,0.63162,0.63549,0.63579,0.64248,0.64573,0.17693,0.1977,0.21814,0.23606,0.25181,0.26599,0.28047,0.29229,0.30159,0.31422,0.32264,0.33219,0.34084,0.34984,0.35472,0.36475,0.37085,0.37732,0.38243,0.38965,0.39539,0.40262,0.40656,0.41033,0.41665,0.42124,0.42758,0.42963,0.43372,0.43872,0.44251,0.44595,0.45217,0.45475,0.4599,0.4626,0.46616,0.47012,0.47378,0.47621,0.48081,0.48404,0.48668,0.49066,0.49434,0.49796,0.49775,0.50168,0.50431,0.50744
30.,0.5,0.01,0.33267,0.33301,0.36901,0.39915,0.42303,0.4401233333333333,0.45663,0.4689566666666667,0.48103,0.49082333333333333,0.5001766666666667,0.5099733333333333,0.51868,0.52463,0.53187,0.5385433333333334,0.5454933333333334,0.55094,0.55556,0.5626266666666667,0.5686133333333333,0.5734766666666666,0.57711,0.58214,0.58638,0.5913966666666667,0.5964233333333333,0.5995133333333333,0.60419,0.60847,0.6125233333333333,0.6159533333333334,0.6202366666666667,0.6238033333333334,0.6280333333333333,0.6321566666666667,0.63366,0.6368633333333333,0.6411433333333333,0.6434366666666667,0.17686333333333334,0.19827,0.2171,0.23549333333333333,0.2510866666666667,0.26526666666666665,0.27903333333333336,0.29176,0.30166333333333334,0.3120966666666667,0.3209533333333333,0.32967,0.3386033333333333,0.3468866666666667,0.35438333333333333,0.3611566666666667,0.36813666666666667,0.37522333333333335,0.38159,0.38716,0.3919566666666667,0.3989,0.4036866666666667,0.4088366666666667,0.4134,0.42003666666666667,0.4234833333333333,0.4288033333333333,0.4340733333333333,0.43877,0.44227666666666665,0.44537666666666664,0.44916333333333336,0.45337666666666665,0.4571033333333333,0.46179333333333333,0.46542333333333336,0.46903,0.47247666666666666,0.4758133333333333,0.47883,0.48234666666666665,0.48519666666666666,0.48858666666666667,0.4918266666666667,0.49544,0.49834333333333336,0.5006933333333333,0.5041433333333334,0.5072466666666666
3.,1.,0.01,0.33243333333333336,0.3355666666666667,0.36873333333333336,0.3990666666666667,0.4219,0.4409666666666667,0.4529666666666667,0.46873333333333334,0.4789,0.4905333333333333,0.5015666666666667,0.5072666666666666,0.5189,0.5216,0.5313666666666667,0.5371,0.5443333333333333,0.5501666666666667,0.5538,0.5634,0.5639666666666666,0.57,0.5747666666666666,0.5793666666666667,0.5881,0.5919333333333333,0.5960333333333333,0.5995666666666667,0.6004333333333334,0.6009,0.6097,0.6115666666666667,0.6206,0.6258666666666667,0.6245333333333334,0.6270333333333333,0.6320666666666667,0.635,0.6372333333333333,0.6407,0.17896666666666666,0.1996,0.22136666666666666,0.2369,0.2531333333333333,0.2658333333333333,0.2804,0.2927666666666667,0.3025,0.3143,0.32283333333333336,0.33536666666666665,0.3406666666666667,0.3510333333333333,0.35646666666666665,0.3665,0.3701333333333333,0.37766666666666665,0.38193333333333335,0.38876666666666665,0.395,0.3991,0.4041,0.4076,0.4136,0.4176666666666667,0.4248,0.4292666666666667,0.4323666666666667,0.43766666666666665,0.442,0.44393333333333335,0.44456666666666667,0.4493,0.45266666666666666,0.45686666666666664,0.46423333333333333,0.46576666666666666,0.4694333333333333,0.47213333333333335,0.47746666666666665,0.47946666666666665,0.4803,0.4834,0.4888,0.4881,0.4921333333333333,0.49233333333333335,0.4974,0.4985
10.,1.,0.01,0.33172,0.33418,0.37252,0.40193,0.42308,0.4422,0.45773,0.47089,0.48151,0.49358,0.50057,0.50989,0.52005,0.52706,0.53666,0.54227,0.55101,0.55565,0.55889,0.56852,0.57139,0.57655,0.57954,0.58682,0.59172,0.59738,0.60103,0.60422,0.61136,0.61358,0.61871,0.62182,0.62849,0.63029,0.63472,0.63829,0.64171,0.6422,0.64874,0.6521,0.17424,0.19413,0.21383,0.23118,0.24615,0.26053,0.27524,0.28667,0.29629,0.30917,0.31748,0.32677,0.33584,0.34517,0.34995,0.35965,0.36657,0.37281,0.37812,0.38574,0.39143,0.39823,0.40239,0.40668,0.41308,0.41757,0.42397,0.42618,0.4308,0.43557,0.43953,0.44301,0.44955,0.45216,0.45708,0.46033,0.46421,0.46847,0.4721,0.47434,0.47927,0.48275,0.48487,0.48959,0.49303,0.49659,0.49733,0.50091,0.50414,0.50701
30.,1.,0.01,0.33267,0.33293,0.36894333333333335,0.3998833333333333,0.42429333333333336,0.44192333333333333,0.4588833333333333,0.47173,0.4838733333333333,0.49398,0.5037766666666667,0.51385,0.5227233333333333,0.5289333333333334,0.53656,0.54332,0.5503433333333333,0.55618,0.56086,0.5681433333333333,0.57414,0.5793266666666667,0.5833566666666666,0.58811,0.5924866666666667,0.5978633333333333,0.6029,0.6062166666666666,0.61101,0.6153866666666666,0.6196266666666667,0.62294,0.6276066666666666,0.6312066666666667,0.6350733333333334,0.6397033333333333,0.6411966666666666,0.6445333333333333,0.6487533333333333,0.6511533333333334,0.17293333333333333,0.19355333333333333,0.21208333333333335,0.22987333333333335,0.24543,0.25938333333333335,0.27297333333333335,0.28568,0.2955966666666667,0.30601666666666666,0.31484666666666666,0.32365333333333335,0.33277666666666667,0.3411633333333333,0.34881,0.35547,0.36284,0.36976333333333333,0.37633333333333335,0.38233333333333336,0.387,0.3942366666666667,0.39934,0.40465,0.4093466666666667,0.41609666666666667,0.41972333333333334,0.4250366666666667,0.43071333333333334,0.4355966666666667,0.4391833333333333,0.4426866666666667,0.44665333333333335,0.45106666666666667,0.4548833333333333,0.46018333333333333,0.46392666666666665,0.4677733333333333,0.47143666666666667,0.47501,0.47827,0.4817133333333333,0.48528333333333334,0.48891666666666667,0.49210333333333334,0.49594333333333335,0.4991466666666667,0.5018233333333333,0.5054466666666667,0.50856
3.,3.,0.01,0.33243333333333336,0.3349,0.3677666666666667,0.39913333333333334,0.42163333333333336,0.4423666666666667,0.4539666666666667,0.47086666666666666,0.48196666666666665,0.4931,0.5045,0.5115,0.5221,0.5246666666666666,0.5346666666666666,0.5426,0.5504333333333333,0.556,0.5597,0.5692666666666667,0.5709666666666666,0.5771666666666667,0.5818,0.5860333333333333,0.5943,0.5988333333333333,0.6022,0.6053,0.6088,0.6091,0.6182,0.6202,0.6295333333333333,0.6336333333333334,0.6336333333333334,0.6361666666666667,0.6402333333333333,0.6437333333333334,0.6477,0.6504666666666666,0.17283333333333334,0.19193333333333334,0.21196666666666666,0.22803333333333334,0.2424,0.2534666666666667,0.26853333333333335,0.27923333333333333,0.28933333333333333,0.299,0.30856666666666666,0.31976666666666664,0.3236,0.3353333333333333,0.33986666666666665,0.3487,0.35323333333333334,0.3588,0.3648666666666667,0.37083333333333335,0.37783333333333335,0.38133333333333336,0.3851,0.38766666666666666,0.39436666666666664,0.3991,0.40603333333333336,0.4104,0.4134,0.4189333333333333,0.4227666666666667,0.42533333333333334,0.4266,0.43206666666666665,0.43416666666666665,0.4392333333333333,0.4451333333333333,0.4477,0.4511,0.45386666666666664,0.4594,0.46223333333333333,0.46373333333333333,0.4661,0.4701,0.47103333333333336,0.4736,0.47463333333333335,0.47883333333333333,0.48
10.,3.,0.01,0.33172,0.33391,0.37245,0.403,0.42583,0.4466,0.46289,0.47678,0.48903,0.50229,0.50978,0.52025,0.53053,0.53819,0.54831,0.5541,0.56406,0.56961,0.57277,0.5821,0.58646,0.59225,0.59542,0.60273,0.60833,0.61451,0.61874,0.6213,0.62956,0.63161,0.63723,0.64083,0.64801,0.64983,0.65523,0.65849,0.66251,0.66317,0.67007,0.67362,0.1639,0.18123,0.19865,0.21485,0.22851,0.24221,0.25577,0.26718,0.27652,0.28834,0.29649,0.30508,0.31378,0.32254,0.32728,0.33718,0.34474,0.35003,0.35586,0.36306,0.36882,0.37646,0.38023,0.38541,0.39128,0.39651,0.40279,0.40608,0.41096,0.41578,0.42019,0.42391,0.43109,0.43329,0.43941,0.44243,0.44668,0.45179,0.45482,0.45789,0.46324,0.46711,0.47039,0.47491,0.47821,0.48175,0.48297,0.48676,0.48962,0.49327
30.,3.,0.01,0.33267,0.3329,0.3690466666666667,0.4020166666666667,0.42896,0.4486366666666667,0.46713666666666664,0.4820566666666667,0.49527,0.5066233333333333,0.5172633333333333,0.5288066666666666,0.5382766666666666,0.5453266666666666,0.5535566666666667,0.5607066666666667,0.5685,0.57467,0.5801033333333333,0.58777,0.5942833333333334,0.5997266666666666,0.6042233333333333,0.60931,0.6140166666666667,0.6200033333333334,0.62517,0.6287933333333333,0.6339133333333333,0.6382633333333333,0.6428333333333334,0.64673,0.6513566666666667,0.6552966666666666,0.6598366666666666,0.66418,0.6665633333333333,0.6700466666666667,0.6746433333333334,0.6770133333333334,0.15950333333333333,0.17752333333333334,0.19379333333333335,0.21024666666666667,0.22406333333333334,0.23687666666666668,0.24879666666666667,0.2606266666666667,0.26945,0.27947,0.2877133333333333,0.29579,0.30484333333333336,0.31255666666666665,0.32026,0.32632,0.33372666666666667,0.34031666666666666,0.34731666666666666,0.35322,0.35814,0.36546,0.3705866666666667,0.37632333333333334,0.3813566666666667,0.38793,0.39250666666666667,0.39819333333333334,0.40424666666666664,0.4092366666666667,0.41312,0.41748,0.4216666666666667,0.4267433333333333,0.43117666666666665,0.43689666666666666,0.44132,0.44588,0.4494633333333333,0.4538466666666667,0.45788,0.4618366666666667,0.46586666666666665,0.47029333333333334,0.47435333333333335,0.47895666666666664,0.4826933333333333,0.4857666666666667,0.48995333333333335,0.4938166666666667
3.,6.,0.01,0.33243333333333336,0.3351,0.3682666666666667,0.39936666666666665,0.42133333333333334,0.4421,0.45443333333333336,0.47103333333333336,0.4827666666666667,0.4944,0.5059333333333333,0.5131666666666667,0.5236333333333333,0.5268666666666667,0.5375333333333333,0.5444333333333333,0.5523333333333333,0.5582,0.5621333333333334,0.5722333333333334,0.5733333333333334,0.5789666666666666,0.5844333333333334,0.5885,0.5969666666666666,0.6017333333333333,0.6058666666666667,0.6086,0.6118,0.6127333333333334,0.6212,0.6236,0.6333333333333333,0.6377,0.6373333333333333,0.6409666666666667,0.6443666666666666,0.6476666666666666,0.6512666666666667,0.6549666666666667,0.17063333333333333,0.1883,0.20836666666666667,0.223,0.2364,0.24786666666666668,0.26166666666666666,0.2725666666666667,0.2811666666666667,0.2901,0.2987,0.3097666666666667,0.31416666666666665,0.3243,0.3287333333333333,0.33613333333333334,0.3411666666666667,0.34613333333333335,0.3521666666666667,0.35756666666666664,0.3640333333333333,0.3677666666666667,0.37066666666666664,0.37406666666666666,0.3796333333333333,0.38416666666666666,0.39086666666666664,0.3942,0.39653333333333335,0.401,0.4057,0.4071666666666667,0.4098333333333333,0.4145,0.4162,0.421,0.42606666666666665,0.42866666666666664,0.43296666666666667,0.4347666666666667,0.4392,0.4424666666666667,0.44316666666666665,0.4463666666666667,0.4502,0.4509,0.45326666666666665,0.45353333333333334,0.45843333333333336,0.45843333333333336
