ID,waitingBonus,machine,result,latency_ms,performance,condition,expNum,amazonID,room,round,socialFreq0,socialFreq1,socialFreq2,optimalChoice,groupSize,sizeCategory,room_sorted_by_size,Freq_poor,Freq_firstBest,Freq_secondBest,taskDifficulty
Q77Svg-HXZccCrhZAAAA,0,2,0.0213,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,1,0,0,0,1,0,1,mainRoom1_1_50,0,0,0,50%
Q77Svg-HXZccCrhZAAAA,0,1,0.0121,68,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,2,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,0,0.0186,68,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,3,0,1,0,0,1,1,mainRoom1_1_50,1,0,0,50%
Q77Svg-HXZccCrhZAAAA,0,1,0.0205,63,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,4,1,0,0,0,1,1,mainRoom1_1_50,0,0,1,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0271,65,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,5,0,1,0,1,1,1,mainRoom1_1_50,1,0,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0258,66,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,6,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0185,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,7,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,0,0.0097,65,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,8,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,1,0.0142,64,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,9,1,0,0,0,1,1,mainRoom1_1_50,0,0,1,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0265,64,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,10,0,1,0,1,1,1,mainRoom1_1_50,1,0,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.025,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,11,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0254,62,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,12,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0164,66,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,13,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0168,72,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,14,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,1,0.0187,68,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,15,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0304,69,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,16,0,1,0,1,1,1,mainRoom1_1_50,1,0,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0374,76,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,17,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.026,90,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,18,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.025,83,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,19,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0257,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,20,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0208,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,21,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0242,61,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,22,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,0,0.0109,64,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,23,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,1,0.0165,65,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,24,1,0,0,0,1,1,mainRoom1_1_50,0,0,1,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0208,61,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,25,0,1,0,1,1,1,mainRoom1_1_50,1,0,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0237,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,26,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0173,65,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,27,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0226,65,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,28,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0266,65,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,29,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0134,64,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,30,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,1,0.0056,62,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,31,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,0,0.0111,62,1,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,32,0,1,0,0,1,1,mainRoom1_1_50,1,0,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0274,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,33,1,0,0,1,1,1,mainRoom1_1_50,0,0,1,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0289,64,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,34,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0266,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,35,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0195,62,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,36,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0233,62,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,37,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0213,62,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,38,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0208,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,39,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0223,62,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,40,0,0,1,1,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0207,68,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,41,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0229,69,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,42,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0323,72,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,43,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0276,71,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,44,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0251,74,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,45,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0281,86,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,46,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0254,84,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,47,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
Q77Svg-HXZccCrhZAAAA,0,2,0.0283,63,2,1,1,A3W6T1WDYXMR3,mainRoom1_1_50,48,0,0,1,0,1,1,mainRoom1_1_50,0,1,0,50%
