condition,environment,groupID,subjectID,groupSize,averagePerformance,optimalChoiceRate,optimalChoiceCount,totalRoundNum,taskDifficulty,groupSize_standerized,groupSize_centralized,groupSize_standerized2,groupSize_centralized2,choiceCount_poor,choiceCount_good1,choiceCount_good2,average_entropy,average_gini
1,environment 1,mainRoom1_1_25,A3GX1M6BYHJOYC,1,1.75,0.75,30,40,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,5,30,5,0,0.666666666666667
1,environment 2,mainRoom1_1_25,A3GX1M6BYHJOYC,1,2.33333333333333,0.333333333333333,10,30,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,0,20,10,0,0.666666666666667
1,e1+e2,mainRoom1_1_25,A3GX1M6BYHJOYC,1,2,0.571428571428571,40,70,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,5,50,15,0,0.666666666666667
1,environment 1,subRoom1_1_25_10,AJ34WB9Z37ILU,1,1.875,0.875,35,40,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,1,35,4,0,0.666666666666667
1,environment 2,subRoom1_1_25_10,AJ34WB9Z37ILU,1,2,0,0,30,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,0,30,0,0,0.666666666666667
1,e1+e2,subRoom1_1_25_10,AJ34WB9Z37ILU,1,1.92857142857143,0.5,35,70,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,1,65,4,0,0.666666666666667
1,environment 1,subRoom1_1_25_11,A25JU9QH52Q850,1,1.575,0.575,23,40,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,8,23,9,0,0.666666666666667
1,environment 2,subRoom1_1_25_11,A25JU9QH52Q850,1,2.6,0.7,21,30,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,3,6,21,0,0.666666666666667
1,e1+e2,subRoom1_1_25_11,A25JU9QH52Q850,1,2.01428571428571,0.628571428571429,44,70,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,11,29,30,0,0.666666666666667
1,environment 1,subRoom1_1_25_12,A1C6BL1O5L5LA9,1,1.95,0.95,38,40,25%,-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,1,38,1,0,0.666666666666667
