"condition","environment","groupID","subjectID","groupSize","averagePerformance","optimalChoiceRate","optimalChoiceCount","totalRoundNum","taskDifficulty","groupSize_standerized","groupSize_centralized","groupSize_standerized2","groupSize_centralized2","choiceCount_poor","choiceCount_good1","choiceCount_good2","average_entropy","average_gini","amazonID","alpha","beta","soc_raw","soc_change","soc2","soc70","theta","low_alpha","low_beta","low_soc_raw","low_soc_change","low_soc2","low_theta","high_alpha","high_beta","high_soc_raw","high_soc_change","high_soc2","high_theta","alpha_25","beta_25","soc_raw_25","soc_change_25","soc2_25","theta_25","alpha_75","beta_75","soc_raw_75","soc_change_75","soc2_75","theta_75","annealing","annealing_25","annealing_75","high_annealing","low_annealing","smallestWaicModel","frequency_dependence_4","male_female_other","age","average_copy_rate","average_invTemp"
1,"environment 1","mainRoom1_1_25","A3GX1M6BYHJOYC",1,1.75,0.75,30,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,5,30,5,0,0.666666666666667,"A3GX1M6BYHJOYC",0.708786443954791,0.711572709648265,NA,NA,NA,NA,NA,0.35233206030886,-0.148556125659973,NA,NA,NA,NA,0.994755310303503,1.61170528308204,NA,NA,NA,NA,0.556221143913477,0.424327786972539,NA,NA,NA,NA,0.854454096577023,1.01209543727362,NA,NA,NA,NA,3.16332890412571,2.43927729235242,4.02830468474344,5.89674903542936,1.23049897976031,"AL_ann","Single-condition",2,40,NA,NA
1,"environment 2","mainRoom1_1_25","A3GX1M6BYHJOYC",1,2.33333333333333,0.333333333333333,10,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,0,20,10,0,0.666666666666667,"A3GX1M6BYHJOYC",0.708786443954791,0.711572709648265,NA,NA,NA,NA,NA,0.35233206030886,-0.148556125659973,NA,NA,NA,NA,0.994755310303503,1.61170528308204,NA,NA,NA,NA,0.556221143913477,0.424327786972539,NA,NA,NA,NA,0.854454096577023,1.01209543727362,NA,NA,NA,NA,3.16332890412571,2.43927729235242,4.02830468474344,5.89674903542936,1.23049897976031,"AL_ann","Single-condition",2,40,NA,NA
1,"e1+e2","mainRoom1_1_25","A3GX1M6BYHJOYC",1,2,0.571428571428571,40,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,5,50,15,0,0.666666666666667,"A3GX1M6BYHJOYC",0.708786443954791,0.711572709648265,NA,NA,NA,NA,NA,0.35233206030886,-0.148556125659973,NA,NA,NA,NA,0.994755310303503,1.61170528308204,NA,NA,NA,NA,0.556221143913477,0.424327786972539,NA,NA,NA,NA,0.854454096577023,1.01209543727362,NA,NA,NA,NA,3.16332890412571,2.43927729235242,4.02830468474344,5.89674903542936,1.23049897976031,"AL_ann","Single-condition",2,40,NA,NA
1,"environment 1","subRoom1_1_25_10","AJ34WB9Z37ILU",1,1.875,0.875,35,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,1,35,4,0,0.666666666666667,"AJ34WB9Z37ILU",0.829115166538613,2.02882121245564,NA,NA,NA,NA,NA,0.499274738304487,0.699372007915897,NA,NA,NA,NA,0.997054456997279,4.13107275827624,NA,NA,NA,NA,0.723907640196196,1.53371097264361,NA,NA,NA,NA,0.917485183391562,2.65543948507181,NA,NA,NA,NA,4.02860663333944,2.78458124417254,5.71245558407384,11.0685774416822,0.984366690549156,"AL_ann","Single-condition",1,38,NA,NA
1,"environment 2","subRoom1_1_25_10","AJ34WB9Z37ILU",1,2,0,0,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,0,30,0,0,0.666666666666667,"AJ34WB9Z37ILU",0.829115166538613,2.02882121245564,NA,NA,NA,NA,NA,0.499274738304487,0.699372007915897,NA,NA,NA,NA,0.997054456997279,4.13107275827624,NA,NA,NA,NA,0.723907640196196,1.53371097264361,NA,NA,NA,NA,0.917485183391562,2.65543948507181,NA,NA,NA,NA,4.02860663333944,2.78458124417254,5.71245558407384,11.0685774416822,0.984366690549156,"AL_ann","Single-condition",1,38,NA,NA
1,"e1+e2","subRoom1_1_25_10","AJ34WB9Z37ILU",1,1.92857142857143,0.5,35,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,1,65,4,0,0.666666666666667,"AJ34WB9Z37ILU",0.829115166538613,2.02882121245564,NA,NA,NA,NA,NA,0.499274738304487,0.699372007915897,NA,NA,NA,NA,0.997054456997279,4.13107275827624,NA,NA,NA,NA,0.723907640196196,1.53371097264361,NA,NA,NA,NA,0.917485183391562,2.65543948507181,NA,NA,NA,NA,4.02860663333944,2.78458124417254,5.71245558407384,11.0685774416822,0.984366690549156,"AL_ann","Single-condition",1,38,NA,NA
1,"environment 1","subRoom1_1_25_11","A25JU9QH52Q850",1,1.575,0.575,23,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,8,23,9,0,0.666666666666667,"A25JU9QH52Q850",0.764057069378438,0.384383893237664,NA,NA,NA,NA,NA,0.317829869726476,-0.438703138944471,NA,NA,NA,NA,0.99630876948981,1.24298456227394,NA,NA,NA,NA,0.58734948589257,0.0978039638054135,NA,NA,NA,NA,0.90475037649861,0.652973699787507,NA,NA,NA,NA,1.23556090302148,0.782800263094383,1.72919489210811,2.74015255715641,-0.0623274144396152,"AL_ann","Single-condition",1,41,NA,NA
1,"environment 2","subRoom1_1_25_11","A25JU9QH52Q850",1,2.6,0.7,21,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,3,6,21,0,0.666666666666667,"A25JU9QH52Q850",0.764057069378438,0.384383893237664,NA,NA,NA,NA,NA,0.317829869726476,-0.438703138944471,NA,NA,NA,NA,0.99630876948981,1.24298456227394,NA,NA,NA,NA,0.58734948589257,0.0978039638054135,NA,NA,NA,NA,0.90475037649861,0.652973699787507,NA,NA,NA,NA,1.23556090302148,0.782800263094383,1.72919489210811,2.74015255715641,-0.0623274144396152,"AL_ann","Single-condition",1,41,NA,NA
1,"e1+e2","subRoom1_1_25_11","A25JU9QH52Q850",1,2.01428571428571,0.628571428571429,44,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,11,29,30,0,0.666666666666667,"A25JU9QH52Q850",0.764057069378438,0.384383893237664,NA,NA,NA,NA,NA,0.317829869726476,-0.438703138944471,NA,NA,NA,NA,0.99630876948981,1.24298456227394,NA,NA,NA,NA,0.58734948589257,0.0978039638054135,NA,NA,NA,NA,0.90475037649861,0.652973699787507,NA,NA,NA,NA,1.23556090302148,0.782800263094383,1.72919489210811,2.74015255715641,-0.0623274144396152,"AL_ann","Single-condition",1,41,NA,NA
1,"environment 1","subRoom1_1_25_12","A1C6BL1O5L5LA9",1,1.95,0.95,38,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,1,38,1,0,0.666666666666667,"A1C6BL1O5L5LA9",0.496722887794029,2.22660618429,NA,NA,NA,NA,NA,0.142930870152917,0.757844457013046,NA,NA,NA,NA,0.914440838491291,5.02423634043609,NA,NA,NA,NA,0.331867763758662,1.68641280112569,NA,NA,NA,NA,0.670448925285218,2.92339331918286,NA,NA,NA,NA,3.74459548174944,2.48604170131339,5.67249048294453,13.0212241244543,0.284799492443695,"AL_ann","Single-condition",1,35,NA,NA
